Type,Model,kH/s,C,M,V,W,Miner,Config,Notes (OS/TEMPS/DRIVERS/HARDWARE/FIRMWARE)
AMD GPU,"7970, GV-R797OC-3GD",710,1025,1750,1.175 U,,cgminer 3.6.0,-I 13 -g 2 -w 256 --thread-concurrency 8192,"Windows 8.1 x64, 75C on water, Catalyst 13.11 b8, ASUS R4E, 3930k, 64GB RAM, F3 firmware"
AMD GPU,"7970, H797QMC3G2M",710,1050,1500,1.250 Y,250,cgminer 3.5.0,-I 13 --thread-concurrency 14336 --gpu-powertune -5,"Ubuntu 13.04 x64, 68C, Catalyst 13.4, MSI 790FX-GD70, AMD Phenom II X4 960T, 16GB RAM, 4x GPUs"
AMD GPU,"7970, XFX",710,1050,1600,1.175 Y,,cgminer/BAMT 1.1,-I 20 -g 1 -w 256 --thread-concurrency 40960,"Debian, BAMT, 78C, GREM52 MSI Z77A-G45 Z77, x16-x16 risers, Celeron G1620"
AMD GPU,"7970, MATRIX-HD7970-3GD5",710,1050,1500,,,cgminer 3.6.0,-I 13 -g 2 -w 256 --thread-concurrency 8192,i7-3820
AMD GPU,"7970, GV-R797TO-3GD",720,1040,1495,,,cgminer 3.1.1,-w 256 -g 2 -i 13 --shaders 2048 --thread-concurrency 8192,Windows 7 x64
AMD GPU,"7970, 11197-03-40G",730,1090,1695,,275,cgminer 3.1.0,-I 20 -g 1 -w 256 --thread-concurrency 40960 --gpu-powertune 20,BAMT
AMD GPU,"7970, GV-R797OC-3GD",735,1060,1500,1.170 Y,,cgminer 2.11.4,-I 13 -g 2 -w 256 --thread-concurrency 8192,"Xubuntu 12.4 x64, 69C, 3.2.0-52-generic, i3-3240 3.40GHz, 8GB RAM"
AMD GPU,"7970, R7970 Lightning BE",734,1050,1700,,,cgminer 3.1.0,-I 13 -g 2 -w 256 --thread-concurrency 8192,http://imgur.com/bUicPyN
AMD GPU,"7970, GV-R797OC-3GD",750,1085,1500,1.170 ?,,cgminer 2.11.2,-I 13 -g 2 -w 256 --shaders 2048,"70C, Catalyst 13.1"
AMD GPU,"7970, GV-R797OC-3GD",751,1082,1498,1.170 Y,,cgminer 3.1.1,-I 13 -g 2 -w 256 --thread-concurrency 8192,"Windows 7 x64, 68C, Catalyst 13.11 Beta9.2, i5-3570k @ 4.5GHz, MSI z77a G45, 8GB RAM, F72 firmware"
AMD GPU,"7970, AX7970 3GBD5-2DHV3",757,1090,1500,,325,cgminer 3.7.2,-I 13 -g 2 -w 256 --thread-concurrency 8192,"Windows 7, 70C, i7-4930K"
AMD GPU,"7970, GV-R7970C-3GD, Rev 2.1",760,1090,1500,1.170 Y,,cgminer 3.1.0,-I 13 -g 2 -w 256 --thread-concurrency 8192 --gpu-powertune 20,78.0C
